"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3","text-tag_textTag__mQeO_"
"","","","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/wlwetyde?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=2","https://img.yad2.co.il/Pic/202405/29/2_5/o/y2_1pa_010482_20240529100311.jpeg?w=3840&h=3840&c=9","ניו-סיטי ישראל","ניו-סיטי ישראל","57,500 ₪","דירה","דירה, תל אביב יפו","5 חדרים • קומה ‎2‏ • 180 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/az30k9kp?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=2","https://img.yad2.co.il/Pic/202405/22/2_5/o/y2_1pa_010144_20240522175010.jpeg?w=3840&h=3840&c=9","דיפלורה נכסים","דיפלורה נכסים","4,300,000 ₪","דירה","דירה, תל אביב יפו","4 חדרים • קומה ‎6‏ • 107 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/h5c056c9?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=2","https://img.yad2.co.il/Pic/202307/06/2_5/o/y2_1_tp_87Cn57A_20230706.jpg?w=3840&h=3840&c=9","next space real estate","next space real estate","30,000,000 ₪","ביאליק","בניין מגורים, לב תל אביב, לב העיר צפון, תל אביב יפו","קומה ‎קרקע‏ • 560 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/89yiztw2?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=2","https://img.yad2.co.il/Pic/202410/31/2_1/o/y2_1pa_010545_20241031161347.jpeg?w=3840&h=3840&c=9","","","1,680,000 ₪","הקונגרס 38","דירה, נווה שאנן, תל אביב יפו","2 חדרים • קומה ‎3‏ • 50 מ״ר","המודעה נשמרה","נכס עורפי","חבל לפספס","בהזדמנות",""
"https://www.yad2.co.il/realestate/item/5szucdj9?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=2","https://img.yad2.co.il/Pic/202408/05/2_1/o/y2_1_02227_20240805210505.jpeg?w=3840&h=3840&c=9","","","7,950,000 ₪","דוד ילין 6","דירה, הצפון החדש - כיכר המדינה, תל אביב יפו","4.5 חדרים • קומה ‎4‏ • 127 מ״ר","המודעה נשמרה","4 כיווני אוויר","נוף פתוח לעיר","חניה",""
"https://www.yad2.co.il/realestate/item/fu7buwq7?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=2","https://img.yad2.co.il/Pic/202410/16/2_1/o/y2_1_04926_20241016110123.jpeg?w=3840&h=3840&c=9","","","4,400,000 ₪","רמה 6","דירה, נווה שרת, תל אביב יפו","4.5 חדרים • קומה ‎9‏ • 119 מ״ר","המודעה נשמרה","ממ""ד","3 כיווני אוויר","חניה",""
"https://www.yad2.co.il/realestate/item/hufv9uxp?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=2","https://img.yad2.co.il/Pic/202411/05/2_1/o/y2_1pa_010264_20241105123038.jpeg?w=3840&h=3840&c=9","","","4,790,000 ₪","בראלי 10","דירה, תכנית ל', למד, תל אביב יפו","4 חדרים • קומה ‎4‏ • 109 מ״ר","המודעה נשמרה","נוף פתוח לעיר","חניה","בניין משופץ",""
"https://www.yad2.co.il/realestate/item/6sub2otl?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=2","https://img.yad2.co.il/Pic/202410/09/2_1/o/y2_1pa_010859_20241009150355.jpeg?w=3840&h=3840&c=9","","","3,090,000 ₪","ישראל מריז'ין 7","דירה, צהלון, שיכוני חסכון, תל אביב יפו","3.5 חדרים • קומה ‎קרקע‏ • 95 מ״ר","המודעה נשמרה","ממ""ד","חדש מקבלן","בהזדמנות",""
"https://www.yad2.co.il/realestate/item/0z7p1i78?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=2","https://img.yad2.co.il/Pic/202410/01/2_1/o/y2_1pa_010172_20241001192955.jpeg?w=3840&h=3840&c=9","","","5,500,000 ₪","ירמיהו 34","גג/ פנטהאוז, הצפון הישן - צפון, תל אביב יפו","3 חדרים • קומה ‎3‏ • 108 מ״ר","המודעה נשמרה","3 כיווני אוויר","נוף פתוח לעיר","נכס עורפי",""
