"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","text-tag_textTag__mQeO_","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E 3"
"https://www.yad2.co.il/realestate/item/c59ywn6o?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=7","https://img.yad2.co.il/Pic/202406/09/2_1/o/y2_1pa_010879_20240609143940.jpeg?w=3840&h=3840&c=9","","","","4,500,000 ₪","וינגייט 3","דירה, יד אליהו, תל אביב יפו","3 חדרים • קומה ‎16‏ • 85 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/yghln8tw?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=7","https://img.yad2.co.il/Pic/202410/16/2_1/o/y2_1pa_010304_20241016093105.jpeg?w=3840&h=3840&c=9","","","","3,500,000 ₪","פוריה 12","דירה, צפון יפו, המושבה האמריקאית-גרמנית, תל אביב יפו","3 חדרים • קומה ‎6‏ • 57 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/9maa8mro?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=7","https://img.yad2.co.il/Pic/202410/14/2_1/o/y2_1_09034_20241014153850.jpeg?w=3840&h=3840&c=9","","","","2,900,000 ₪","יסוד המעלה 15","דירה, נווה שאנן, תל אביב יפו","3 חדרים • קומה ‎3‏ • 68 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/k5j5wtnk?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=7","https://img.yad2.co.il/Pic/202409/17/2_1/o/y2_1pa_010578_20240917194955.jpeg?w=3840&h=3840&c=9","","","","4,300,000 ₪","גבולות 3","דירה, פלורנטין, תל אביב יפו","3 חדרים • קומה ‎2‏ • 82 מ״ר","","","המודעה נשמרה",""
"","","","","","5,790,000 ₪","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/1kpfyyzm?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=7","https://img.yad2.co.il/Pic/202404/24/2_1/o/y2_1pa_010676_20240424204748.jpeg?w=3840&h=3840&c=9","","","","2,600,000 ₪","דרך חיים ברלב 177","דירה, נווה אליעזר וכפר שלם מזרח, תל אביב יפו","3 חדרים • קומה ‎4‏ • 75 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/9lp5isty?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=7","https://img.yad2.co.il/Pic/202409/09/2_1/o/y2_1pa_010446_20240909190920.jpeg?w=3840&h=3840&c=9","","","","4,500,000 ₪","דרך מנחם בגין 158","דירה, מונטיפיורי, הרכבת, תל אביב יפו","3 חדרים • קומה ‎27‏ • 95 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/6s4ts0d3?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=7","https://img.yad2.co.il/Pic/202408/25/2_1/o/y2_1pa_010476_20240825162546.jpeg?w=3840&h=3840&c=9","","","","3,090,000 ₪","השופר 4","גג/ פנטהאוז, קרית שלום, תל אביב יפו","3 חדרים • קומה ‎2‏ • 56 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/rdp32qf9?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=7","https://img.yad2.co.il/Pic/202408/27/2_1/o/y2_1pa_010966_20240827210903.jpeg?w=3840&h=3840&c=9","","","","3,400,000 ₪","ש""ץ 15","דירה, הצפון הישן - דרום, תל אביב יפו","3 חדרים • קומה ‎2‏ • 55 מ״ר","3 כיווני אוויר","נכס עורפי","המודעה נשמרה","בניין משופץ"
"https://www.yad2.co.il/realestate/item/x830vx9u?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=7","https://img.yad2.co.il/Pic/202410/10/2_1/o/y2_1pa_010155_20241010114841.jpeg?w=3840&h=3840&c=9","","","","3,600,000 ₪","דרך מנחם בגין 144","דירה, מונטיפיורי, הרכבת, תל אביב יפו","3 חדרים • קומה ‎25‏ • 68 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/w3th228w?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=7","https://img.yad2.co.il/Pic/202409/03/2_1/o/y2_1pa_010196_20240903095315.jpeg?w=3840&h=3840&c=9","","","","5,300,000 ₪","מאיר יערי 15","דירה, כוכב הצפון, תל אביב יפו","3 חדרים • קומה ‎1‏ • 87 מ״ר","","","המודעה נשמרה",""
