"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","text-tag_textTag__mQeO_","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3"
"https://www.yad2.co.il/realestate/item/m39lbco0?opened-from=feed&component-type=main_feed&spot=standard&location=14","https://img.yad2.co.il/Pic/202410/27/2_1/o/y2_1pa_010759_20241027164233.jpeg?w=3840&h=3840&c=9","","","2,200,000 ₪","שדרות קדש 1","דירה, ברנע, אשקלון","5 חדרים • קומה ‎4‏ • 142 מ״ר","המודעה נשמרה","","ממ""ד","נוף פתוח לפארק","חניה"
"https://www.yad2.co.il/realestate/item/a1o6mr6f?opened-from=feed&component-type=main_feed&spot=standard&location=15","https://img.yad2.co.il/Pic/202411/05/2_1/o/y2_1pa_010706_20241105213341.jpeg?w=3840&h=3840&c=9","","","4,880,000 ₪","יקותיאל אדם 13","בית פרטי/ קוטג', בן גוריון, חולון","7 חדרים • קומה ‎קרקע‏ • 210 מ״ר","המודעה נשמרה","","2 מרפסות","4 כיווני אוויר","חניה"
"https://www.yad2.co.il/realestate/item/hcp5edrw?opened-from=feed&component-type=main_feed&spot=standard&location=16","https://img.yad2.co.il/Pic/202411/07/2_1/o/y2_1pa_010004_20241107231847.jpeg?w=3840&h=3840&c=9","","","6,200,000 ₪","המורד 5","דופלקס, בורוכוב, גבעתיים","3.5 חדרים • קומה ‎4‏ • 230 מ״ר","המודעה נשמרה","","2 מרפסות","3 כיווני אוויר","חניה"
"","","","","645,000 ₪","","","","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/cpzg3e05?opened-from=feed&component-type=main_feed&spot=standard&location=17","https://img.yad2.co.il/Pic/202410/26/2_1/o/y2_1pa_010553_20241026152838.jpeg?w=3840&h=3840&c=9","","","6,900,000 ₪","העצמאות 62","בית פרטי/ קוטג', אפרידר, אשקלון","6.5 חדרים • קומה ‎קרקע‏ • 634 מ״ר","המודעה נשמרה","","3 מרפסות","4 כיווני אוויר","חניה"
"https://www.yad2.co.il/realestate/item/iw6obydi?opened-from=feed&component-type=main_feed&spot=standard&location=18","https://img.yad2.co.il/Pic/202411/07/2_1/o/y2_1_09319_20241107151158.jpeg?w=3840&h=3840&c=9","","","3,610,000 ₪","מנחם בגין 8","דירה, מורשה, רמת השרון","4.5 חדרים • קומה ‎4‏ • 110 מ״ר","המודעה נשמרה","","ממ""ד","3 כיווני אוויר","חניה"
"https://www.yad2.co.il/realestate/item/pcb9rlfy?opened-from=feed&component-type=main_feed&spot=standard&location=19","https://img.yad2.co.il/Pic/202407/24/2_1/o/y2_1_09244_20240724203551.jpeg?w=3840&h=3840&c=9","","","2,290,000 ₪","האנפה 24","דירה, החותרים, טירת כרמל","5 חדרים • קומה ‎5‏ • 140 מ״ר","המודעה נשמרה","","ממ""ד","נוף פתוח לעיר","חניה"
"https://www.yad2.co.il/realestate/item/wjs5f417?opened-from=feed&component-type=main_feed&spot=standard&location=20","https://img.yad2.co.il/Pic/202409/14/2_1/o/y2_1pa_010578_20240914192238.jpeg?w=3840&h=3840&c=9","","","2,395,000 ₪","המגדל הלבן 2","דירה, שאר העיר, רמלה","5 חדרים • קומה ‎17‏ • 142 מ״ר","המודעה נשמרה","","ממ""ד","נוף פתוח לעיר","בהזדמנות"
"https://www.yad2.co.il/realestate/item/e4r898an?opened-from=feed&component-type=main_feed&spot=standard&location=21","https://img.yad2.co.il/Pic/202410/20/2_1/o/y2_1pa_010030_20241020135442.jpeg?w=3840&h=3840&c=9","","","1,880,000 ₪","שדרות גולדה מאיר 3","דירה, קרית נורדאו, נתניה","4 חדרים • קומה ‎4‏ • 84 מ״ר","המודעה נשמרה","","3 כיווני אוויר","נוף פתוח לעיר","חניה"
"https://www.yad2.co.il/realestate/item/sup6hspk?opened-from=feed&component-type=main_feed&spot=standard&location=22","https://img.yad2.co.il/Pic/202408/22/2_1/o/y2_1_04726_20240822104627.jpeg?w=3840&h=3840&c=9","","","3,860,000 ₪","הפעמון 16","בית פרטי/ קוטג', נווה מנחם, קרני שומרון","10 חדרים • קומה ‎2‏ • 530 מ״ר","המודעה נשמרה","ירד ב-320,000 ₪","2 מרפסות","3 חדרי מקלחת","4 כיווני אוויר"
"https://www.yad2.co.il/realestate/item/kc2srxkr?opened-from=feed&component-type=main_feed&spot=standard&location=23","https://img.yad2.co.il/Pic/202411/04/2_1/o/y2_1_03645_20241104084954.jpeg?w=3840&h=3840&c=9","","","1,490,000 ₪","הזית 9","דירה, מרכז העיר, סביניה, הוותיקה, קרית ביאליק","3.5 חדרים • קומה ‎1‏ • 90 מ״ר","המודעה נשמרה","","4 כיווני אוויר","נוף פתוח לעיר","מטבח גדול"
"https://www.yad2.co.il/realestate/item/81ua72oq?opened-from=feed&component-type=main_feed&spot=standard&location=24","https://img.yad2.co.il/Pic/202411/08/2_5/o/y2_1pa_010027_20241108093720.jpeg?w=3840&h=3840&c=9","S+ REAL ESTATE","S+ REAL ESTATE","לא צוין מחיר","רבן יוחנן בן זכאי","דירה, קטמונים, ירושלים","3 חדרים • קומה ‎2‏ • 67 מ״ר","המודעה נשמרה","","ייחודי","חבל לפספס","בהזדמנות"
