"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3","text-tag_textTag__mQeO_"
"https://www.yad2.co.il/realestate/item/u5fkqely?opened-from=feed&component-type=main_feed&spot=standard&location=14","https://img.yad2.co.il/Pic/202406/13/2_1/o/y2_1pa_010381_20240613191419.jpeg?w=3840&h=3840&c=9","","","6,200,000 ₪","שדרות לוי אשכול 2","דירה, כוכב הצפון, תל אביב יפו","3 חדרים • קומה ‎3‏ • 94 מ״ר","המודעה נשמרה","ממ""ד","נוף פתוח לפארק","חניה",""
"https://www.yad2.co.il/realestate/item/wcpgrumg?opened-from=feed&component-type=main_feed&spot=standard&location=15","https://img.yad2.co.il/Pic/202409/14/2_1/o/y2_1pa_010531_20240914124309.jpeg?w=3840&h=3840&c=9","","","3,870,000 ₪","חיים בן עטר 8","דירה, פלורנטין, תל אביב יפו","3 חדרים • קומה ‎2‏ • 70 מ״ר","המודעה נשמרה","3 חדרי מקלחת","3 כיווני אוויר","נוף פתוח לעיר",""
"https://www.yad2.co.il/realestate/item/9784b8sl?opened-from=feed&component-type=main_feed&spot=standard&location=16","https://img.yad2.co.il/Pic/202411/07/2_1/o/y2_1_09494_20241107093327.jpeg?w=3840&h=3840&c=9","","","4,747,000 ₪","לבונטין 6","גג/ פנטהאוז, לב תל אביב, לב העיר צפון, תל אביב יפו","3 חדרים • קומה ‎5‏ • 64 מ״ר","המודעה נשמרה","ממ""ד","3 כיווני אוויר","חדש מקבלן",""
"https://www.yad2.co.il/realestate/item/r97sth3e?opened-from=feed&component-type=main_feed&spot=standard&location=17","https://img.yad2.co.il/Pic/202410/30/2_1/o/y2_1pa_010390_20241030134132.jpeg?w=3840&h=3840&c=9","","","3,220,000 ₪","קמינסקה 26","דירת גן, קרית שלום, תל אביב יפו","3 חדרים • קומה ‎קרקע‏ • 126 מ״ר","המודעה נשמרה","ממ""ד","נוף פתוח לעיר","חניה",""
"","","","","5,790,000 ₪","","","","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/ugfrgu7c?opened-from=feed&component-type=main_feed&spot=standard&location=18","https://img.yad2.co.il/Pic/202410/26/2_1/o/y2_1pa_010461_20241026130128.jpeg?w=3840&h=3840&c=9","","","4,500,000 ₪","לחובר 5","דירה, רמת אביב, תל אביב יפו","3 חדרים • קומה ‎2‏ • 70 מ״ר","המודעה נשמרה","3 כיווני אוויר","נוף פתוח לפארק","נכס עורפי",""
"https://www.yad2.co.il/realestate/item/imff4gw1?opened-from=feed&component-type=main_feed&spot=standard&location=19","https://img.yad2.co.il/Pic/202408/01/2_1/o/y2_1_09080_20240801181317.jpeg?w=3840&h=3840&c=9","","","2,240,000 ₪","סומקן 32","דירה, יפו ד', גבעת התמרים, תל אביב יפו","3 חדרים • קומה ‎1‏ • 70 מ״ר","המודעה נשמרה","נוף פתוח לעיר","חבל לפספס","בהזדמנות",""
"https://www.yad2.co.il/realestate/item/kho4aicd?opened-from=feed&component-type=main_feed&spot=standard&location=20","https://img.yad2.co.il/Pic/202410/30/2_1/o/y2_1pa_010200_20241030213409.jpeg?w=3840&h=3840&c=9","","","4,500,000 ₪","השל""ה 6","דירה, הצפון הישן - צפון, תל אביב יפו","3 חדרים • קומה ‎4‏ • 76 מ״ר","המודעה נשמרה","3 כיווני אוויר","נוף פתוח לעיר","בניין משופץ",""
"https://www.yad2.co.il/realestate/item/g4bin2qc?opened-from=feed&component-type=main_feed&spot=standard&location=21","https://assets.yad2.co.il/y2_frontend/global/images/small_image_placeholder.svg","","","3,500,000 ₪","אייגר 16","דירה, נווה שאנן, תל אביב יפו","3 חדרים • קומה ‎5‏ • 82 מ״ר","המודעה נשמרה","ממ""ד","חניה","חדש מקבלן",""
"https://www.yad2.co.il/realestate/item/kp91c272?opened-from=feed&component-type=main_feed&spot=standard&location=22","https://img.yad2.co.il/Pic/202411/02/2_1/o/y2_1_06195_20241102195311.jpeg?w=3840&h=3840&c=9","","","2,300,000 ₪","דורון 21","דירת גן, התקוה, בית יעקב, נווה צה""ל, תל אביב יפו","3 חדרים • קומה ‎קרקע‏ • 103 מ״ר","המודעה נשמרה","3 כיווני אוויר","בניין משופץ","בהזדמנות",""
